<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.02.19	08:00:00	1.11249	1.11390	1.10664	1.11020	71319	105980683000	0
2016.02.19	16:00:00	1.11020	1.11370	1.10787	1.11279	54409	75589220000	7
2016.02.22	00:00:00	1.11111	1.11244	1.11037	1.11120	32540	42904107000	0
2016.02.22	08:00:00	1.11121	1.11187	1.10053	1.10054	64760	111386673000	7
2016.02.22	16:00:00	1.10057	1.10348	1.10028	1.10281	51629	82842112000	7
2016.02.23	00:00:00	1.10273	1.10485	1.10202	1.10366	31214	39409660000	0
2016.02.23	08:00:00	1.10367	1.10524	1.09898	1.10105	67803	108753813000	7
2016.02.23	16:00:00	1.10105	1.10375	1.09948	1.10180	60960	114618644000	7
2016.02.24	00:00:00	1.10173	1.10267	1.09998	1.10145	30760	39227813000	7
2016.02.24	08:00:00	1.10145	1.10176	1.09571	1.09981	72510	125595002000	7
2016.02.24	16:00:00	1.09981	1.10459	1.09738	1.10116	72771	133923114000	7
2016.02.25	00:00:00	1.10137	1.10342	1.10067	1.10339	32221	43558615000	7
2016.02.25	08:00:00	1.10339	1.10449	1.10044	1.10101	65441	117667616000	7
2016.02.25	16:00:00	1.10101	1.10496	1.09865	1.10168	63394	113108601000	7
2016.02.26	00:00:00	1.10168	1.10679	1.10136	1.10605	32331	37660827000	0
2016.02.26	08:00:00	1.10601	1.10650	1.09713	1.09733	61825	113215154000	7
2016.02.26	16:00:00	1.09731	1.09806	1.09114	1.09289	65729	122465697000	7
2016.02.29	00:00:00	1.09130	1.09431	1.09114	1.09431	35101	40891084000	7
2016.02.29	08:00:00	1.09431	1.09625	1.08777	1.08845	65525	110430115000	7
2016.02.29	16:00:00	1.08845	1.08985	1.08589	1.08718	61132	112170498000	7
2016.03.01	00:00:00	1.08751	1.08891	1.08713	1.08848	32366	38550575000	7
2016.03.01	08:00:00	1.08856	1.08932	1.08556	1.08798	61201	97761066000	7
2016.03.01	16:00:00	1.08798	1.08799	1.08338	1.08656	68731	122687054000	5
2016.03.02	00:00:00	1.08644	1.08807	1.08533	1.08599	33384	45866370000	7
2016.03.02	08:00:00	1.08599	1.08756	1.08390	1.08430	61688	120143976000	7
2016.03.02	16:00:00	1.08430	1.08724	1.08251	1.08672	65114	111708606000	7
2016.03.03	00:00:00	1.08676	1.08746	1.08533	1.08581	35001	53167090000	7
2016.03.03	08:00:00	1.08581	1.09100	1.08559	1.09071	57392	99189142000	7
2016.03.03	16:00:00	1.09070	1.09725	1.08936	1.09556	62423	99903945000	7
2016.03.04	00:00:00	1.09556	1.09586	1.09349	1.09532	30696	35897751000	7
2016.03.04	08:00:00	1.09529	1.09899	1.09027	1.09808	57911	90708953000	7
2016.03.04	16:00:00	1.09805	1.10430	1.09582	1.10064	77682	115782448000	7
2016.03.07	00:00:00	1.09879	1.09970	1.09835	1.09921	21864	29053287000	7
2016.03.07	08:00:00	1.09921	1.09939	1.09397	1.09590	51389	98571582000	7
2016.03.07	16:00:00	1.09590	1.10255	1.09461	1.10121	54476	94260628000	7
2016.03.08	00:00:00	1.10127	1.10283	1.10105	1.10172	28568	37979967000	7
2016.03.08	08:00:00	1.10171	1.10443	1.10012	1.10323	56254	96613314000	7
2016.03.08	16:00:00	1.10322	1.10575	1.09933	1.10096	58088	92879903000	7
2016.03.09	00:00:00	1.10095	1.10107	1.09670	1.09750	25637	32235492000	7
2016.03.09	08:00:00	1.09750	1.09892	1.09477	1.09502	53273	98087238000	7
2016.03.09	16:00:00	1.09501	1.10345	1.09457	1.09981	55318	97612252000	7
2016.03.10	00:00:00	1.09973	1.10036	1.09700	1.09810	26404	33895687000	7
2016.03.10	08:00:00	1.09809	1.09896	1.08219	1.09207	61159	102229769000	7
2016.03.10	16:00:00	1.09199	1.12177	1.09099	1.11759	89130	115397911000	7
2016.03.11	00:00:00	1.11759	1.12093	1.11628	1.11759	32660	39801032000	7
2016.03.11	08:00:00	1.11759	1.11814	1.10801	1.11239	66984	96042049000	7
2016.03.11	16:00:00	1.11239	1.11913	1.11150	1.11462	50896	73774680000	7
